system_id,gsp_id
2405,130
2406,83
2407,83
2408,83
2409,83
2410,83
2411,83
2412,83
2413,83
2414,83
2415,83
2416,83
2417,83
2418,83
2419,83
2420,83
2421,83
2422,83
2423,83
2424,83
2425,83
2426,83
2427,83
2428,130
2429,36
2430,36
2431,36
2432,36
2433,36
2434,36
2435,36
2436,36
2437,103
2438,103
2439,103
2440,103
2441,103
2442,36
2443,36
2444,36
2445,36
2446,36
2447,36
2448,36
2449,36
2450,36
2451,36
2452,36
2453,103
2454,103
2455,103
2456,103
2457,103
2458,103
2459,103
2460,103
2461,103
2462,103
2463,103
2464,103
2465,103
2466,103
2467,103
2468,103
2469,103
2470,103
2471,130
2472,103
2473,103
2474,103
2475,103
2476,103
2477,103
2478,103
2479,103
2480,103
2481,103
2482,103
2483,103
2484,103
2485,36
2486,36
2487,103
2488,103
2489,103
2490,103
2491,103
2492,103
2493,130
2494,130
2495,1
2496,1
2497,1
2498,1
2499,1
2500,46
2501,103
2502,122
2503,36
2504,42
2505,319
2506,1
2507,42
2508,42
2509,83
2510,42
2511,83
2512,83
2513,42
2514,83
2515,83
2516,42
2517,83
2518,83
2519,42
2520,83
2521,83
2522,42
2523,42
2524,83
2525,42
2526,83
2527,83
2528,83
2529,83
2530,83
2531,42
2532,83
2533,100
2534,289
2535,70
2536,1
2537,83
2538,83
2539,42
2540,42
2541,42
2542,83
2543,289
2544,1
2545,93
2546,75
2547,123
2548,36
2549,129
2550,122
2551,122
2552,123
2553,130
2554,42
2555,58
2556,1
2557,100
2558,1
2559,312
2560,122
2561,326
2562,326
2563,326
2564,78
2565,78
2566,78
2567,122
2568,122
2569,36
2570,36
2571,36
2572,36
2573,36
2574,1
2575,36
2576,36
2577,334
2578,334
2579,93
2580,74
2581,54
2582,46
2583,46
2584,46
2585,46
2586,46
2587,46
2588,46
2589,46
2590,95
2591,80
2592,80
2593,39
2594,130
2595,122
2596,122
2597,326
2598,334
2599,54
2600,54
2601,326
2602,100
2603,107
2604,321
2605,100
2606,129
2607,57
2608,39
2609,39
2610,46
2611,39
2612,39
2613,39
2614,46
2615,299
2616,334
2617,46
2618,46
2619,80
2620,46
2621,326
2622,35
2623,54
2624,326
2625,121
2626,184
2627,334
2628,103
2629,85
2630,133
2631,115
2632,15
2633,334
2634,312
2635,326
2636,138
2637,138
2638,109
2639,36
2640,334
2641,321
2642,122
2643,122
2644,122
2645,122
2646,122
2647,122
2648,122
2649,122
2650,122
2651,1
2652,1
2653,1
2654,1
2655,54
2656,15
2657,298
2658,334
2659,10
2660,324
2661,97
2662,54
2663,54
2664,1
2665,151
2666,151
2667,151
2668,151
2669,92
2670,39
2671,39
2672,39
2673,54
2674,54
2675,122
2676,122
2677,39
2678,46
2679,1
2680,1
2681,1
2682,122
2683,122
2684,122
2685,122
2686,122
2687,1
2688,1
2689,116
2690,334
2691,122
2692,97
2693,1
2694,299
2695,122
2696,133
2697,54
2698,54
2699,54
2700,1
2701,54
2702,54
2703,54
2704,54
2705,54
2706,122
2707,326
2708,4
2709,75
2710,138
2711,97
2712,3
2713,115
2714,334
2715,233
2716,148
2717,231
2718,225
2719,55
2720,19
2721,239
2722,138
2723,120
2724,202
2725,149
2726,10
2727,289
2728,10
2729,63
2730,120
2731,334
2732,334
2733,312
2734,207
2735,115
2736,132
2737,324
2738,324
2739,324
2740,324
2741,324
2742,324
2743,324
2744,324
2745,324
2746,63
2747,74
2748,296
2749,42
2750,122
2751,97
2752,138
2753,100
2754,1
2755,56
2756,321
2757,46
2758,10
2759,324
2760,178
2761,151
2762,100
2763,141
2764,307
2765,77
2766,232
2767,334
2768,138
2769,324
2770,301
2771,151
2772,326
2773,326
2774,326
2775,116
2776,123
2777,97
2778,326
2779,334
2780,35
2781,122
2782,122
2783,20
2784,56
2785,322
2786,295
2787,326
2788,326
2789,225
2790,326
2791,326
2792,326
2793,56
2794,123
2795,148
2796,148
2797,1
2798,68
2799,74
2800,334
2801,122
2802,122
2803,39
2804,93
2805,175
2806,9
2807,123
2808,334
2809,334
2810,235
2811,2
2812,106
2813,137
2814,57
2815,326
2816,141
2817,208
2818,116
2819,102
2820,151
2821,3
2822,138
2823,128
2824,122
2825,1
2826,122
2827,334
2828,57
2829,321
2830,106
2831,326
2832,1
2833,120
2834,5
2835,3
2836,122
2837,109
2838,1
2839,97
2840,1
2841,83
2842,120
2843,301
2844,207
2845,3
2846,68
2847,122
2848,43
2849,122
2850,122
2851,3
2852,3
2853,3
2854,3
2855,181
2856,3
2857,122
2858,291
2859,106
2860,83
2861,324
2862,3
2863,137
2864,3
2865,128
2866,301
2867,188
2868,123
2869,68
2870,1
2871,334
2872,68
2873,100
2874,217
2875,132
2876,152
2877,122
2878,2
2879,54
2880,180
2881,2
2882,325
2883,157
2884,1
2885,3
2886,57
2887,3
2888,100
2889,1
2890,1
2891,1
2892,1
2893,1
2894,1
2895,133
2896,133
2897,122
2898,122
2899,122
2900,122
2901,74
2902,109
2903,2
2904,138
2905,136
2906,297
2907,66
2908,116
2909,74
2910,298
2911,8
2912,102
2913,106
2914,38
2915,136
2916,37
2917,100
2918,73
2919,73
2920,149
2921,137
2922,40
2923,5
2924,5
2925,122
2926,122
2927,122
2928,326
2929,326
2930,326
2931,106
2932,100
2933,68
2934,109
2935,334
2936,122
2937,68
2938,68
2939,120
2940,73
2941,122
2942,122
2943,304
2944,326
2945,326
2946,122
2947,69
2948,334
2949,279
2950,8
2951,122
2952,304
2953,78
2954,80
2955,80
2956,334
2957,80
2958,80
2959,80
2960,80
2961,78
2962,78
2963,78
2964,78
2965,78
2966,1
2967,1
2968,78
